Part 10 of 10 — Process register · Magnus Workspace Platform · 8 September 2026

SECTION 1 — PROCESS STEPS
Part,Process,Step,Lane,Action,Record → state,Gate or block,What the live build does today
2,Win the Work,2.1,Sales,"Create account, contact and site",parties · contacts · sites,,Site accepts negative area and voltage (1-11)
2,Win the Work,2.2,Sales,Create opportunity,opportunities → prospect,,
2,Win the Work,2.3,Sales,Start assessment,opportunities → assessing,,
2,Win the Work,2.4,Client,"Grants site access, shares load data",—,,
2,Win the Work,2.5,Sales,Record site assessment,site_assessments → proceed · proceed_with_conditions · do_not_proceed,,Accepts a future assessment date (1-09)
2,Win the Work,2.6,Sales,Proceed?,decision,,
2,Win the Work,2.7,Sales,Mark lost or on hold,opportunities → lost · on_hold,,
2,Win the Work,2.8,Sales,"Create proposal — cost build-up, markups, contingency, yield",proposals → draft · opportunities → proposing,,Annual lease figure multiplies roof area by a per-kilowatt-hour rate — out by ~182× (§3.3 of the sweep analysis)
2,Win the Work,2.9,Sales,Submit for internal review,proposals → submitted_for_review · approval_requests → pending,,
2,Win the Work,2.10,Executive,Review proposal: approve or reject,proposals → approved_internal · rejected_internal,,RC-A the raiser can approve their own request
2,Win the Work,2.11,Sales,Send to client,proposals → sent_to_client,,No confirmation; one mis-click sends a commercial document (1-20)
2,Win the Work,2.12,Client,"Reviews, negotiates, accepts or declines",proposals → under_negotiation → accepted · declined,,
2,Win the Work,2.13,Sales,Submit for won decision,opportunities → negotiating · approval_requests → pending,,Register: G7 is specified as markup more than five points below policy — a conditional gate. The code raises it on every won decision
2,Win the Work,2.14,Executive,Decide won,opportunities → won · or back to proposing,,RC-A
2,Win the Work,2.15,Platform,"Automatic: project created, proposal frozen, eight risk terms seeded",projects → setup · proposals → frozen · risk_terms × 8 → not_yet_read,,
2,Win the Work,2.16,Projects,"Create contract — type, value, retention, warranty",contracts → draft,,Contract record stays draft forever; nothing on the Contract tab can sign it (1-14)
2,Win the Work,2.17,Client,Signs the agreement,—,,
