Part 10 of 10 — Consolidated RACI · Magnus Workspace Platform · 8 September 2026
"R does the work · A is accountable (and, where a gate exists, is that gate's primary approver) · C is consulted before · I is informed after · blank means not involved · 'R today' means the live build lets anyone signed in do it"

Part,Step,Chief Executive Officer,Chief Operating Officer,Director,Vice President for Sales,Sales,Project Manager,Person In Charge,Design Manager,Design Engineer,Permit Liaison,Document Controller,Procurement Head,Procurement Officer,Warehouse Custodian,Safety Officer,Service Technician,Operations and Maintenance Lead,Human Resource Head,Line Manager,Payroll Officer,Head of Finance,Finance Officer,Console Holder,Employee,Anyone signed in (live build),Client,Candidate,Supplier,Authority,Department of Labor and Employment
2,"2.1 Account, contact, site",,,,I,R / A,,,,,,,,,,,,,,,,,,,,,,,,,
2,2.2 Opportunity,,,,I,R / A,,,,,,,,,,,,,,,,,,,,,,,,,
2,2.3 Start assessment,,,,A,R,,,,,,,,,,,,,,,,,,,,,I,,,,
2,2.4 Site access,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,
2,2.5 Site assessment,,,,A,R,C,,,,,,,,,,,,,,,,,,,,,,,,
2,2.6 Proceed?,,,,A,R,,,,,,,,,,,,,,,,,,,,,,,,,
2,2.7 Lost / on hold,,,I,A,R,,,,,,,,,,,,,,,,,,,,,,,,,
2,2.8 Create proposal,,,,A,R,C,,,,,,,,,,,,,,,C,,,,,,,,,
2,2.9 Submit for review,,,I,I,R,,,,,,,,,,,,,,,,,,,,,,,,,
2,2.10 Review proposal (G6),,C,A,I,I,,,,,,,,,,,,,,,,,,,,,,,,,
2,2.11 Send to client,,,I,A,R,,,,,,,,,,,,,,,,,,,,,I,,,,
2,2.12 Client decision,,,,I,I,,,,,,,,,,,,,,,,,,,,,R,,,,
2,2.13 Submit for won,,,I,I,R,,,,,,,,,,,,,,,,,,,,,,,,,
2,2.14 Decide won (G7),,,A,I,I,I,,,,,,,,,,,,,,,I,,,,,,,,,
2,2.15 Project created,,,,,I,I,,,,,,,,,,,,,,,I,,,,,,,,,
2,2.16 Create contract,,,,,,R / A,,,,,,,,,,,,,,,C,,,,,,,,,
2,2.17 Client signs,,,,,,I,,,,,,,,,,,,,,,,,,,,R,,,,
2,2.18 Attach signed contract (G9),A,,,,,R,,,,,,,,,,,,,,,I,,,,,,,,,
2,2.19 Risk terms and review (G10),,C,A,,,R,,,,,,,,,,,,,,,,,,,,,,,,
2,2.20 Project parties,,,I,,,R / A,,,,,,,,,,,,,,,,,,,,,,,,
2,2.21 Advance from setup,,,,,,I,,,,,,,,,,,,,,,I,,,,,,,,,
3,3.1 Create package,,,,,,I,,A,R,,,,,,,,,,,,,,,,,,,,,
3,3.2 Work the package,,,,,,,,A,R,,,,,,,,,,,,,,,,,,,,,
3,3.3 Add deliverables,,,,,,,,A,R,,,,,,,,,,,,,,,,,,,,,
3,3.4 Professional seal,,,,,,I,,C,R / A,,I,,,,,,,,,,,,,,,,,,,
3,3.5 Issue for review,,,,,,,,A,R,,,,,,,,,,,,,,,,,,,,,
3,3.6 Deliverable review,,,,,,,,R / A,C,,,,,,,,,,,,,,,,,,,,,
3,3.7 Issue for approval,,,,,,I,,A,R,,,,,,,,,,,,,,,,,,,,,
3,3.8 Submit design freeze,,,,,,I,,I,R,,,,,,,,,,,,,,,,,,,,,
3,3.9 Approve freeze (G18),,,,,,I,,C,A,,,,,,,,,,,,,,,,,,,,,
3,3.10 Package released,,,,,,I,,I,I,,I,,,,,,,,,,,,,,,,,,,
3,3.11 Bill of materials,,,,,,C,,A,R,,,,,,,,,,,,,,,,,,,,,
3,3.12 Permit type library,,,,,,,,,,R / A,C,,,,,,,,,,,,,,,,,,,
3,3.13 Raise project permit,,,,,,I,,,,R / A,,,,,,,,,,,,,,,,,,,,
3,3.14 Set requirements,,,,,,,,,,R / A,C,,,,,,,,,,,,,,,,,,,
3,3.15 Library accumulates,,,,,,,,,,I,I,,,,,,,,,,,,,,,,,,,
3,3.16 Requirements ready,,,,,,I,,,,R / A,,,,,,,,,,,,,,,,,,,,
3,3.17 Engage consultant (G20),,A,C,,,I,,,,R,,,,,,,,,,,,,,,,,,,,
3,3.18 Submit permit,,,,,,I,,,,R / A,,,,,,,,,,,,,,,,,,,I,
3,3.19 Authority decides,,,,,,I,,,,I,,,,,,,,,,,,,,,,,,,R,
3,3.20 Record decision,,,,,,I,,,,R / A,I,,,,,,,,,,,,,,,,,,,
3,3.21 Close permit,,,,,,I,,,,R / A,,,,,,,,,,,,,,,,,,,,
3,3.22 Permit available to mobilisation,,,,,,R / A,,,,I,,,,,,,,,,,,,,,,,,,,
4,4.1 Create purchase order,,,,,,C,,,,,,A,R,,,,,,,,,,,,,,,I,,
4,4.2 Add order lines,,,,,,C,,,,,,A,R,C,,,,,,,,,,,,,,,,
4,4.3 Submit for approval,,,,,,I,,,,,,A,R,,,,,,,,,,,,,,,,,
4,"4.4 Approve — G4 ≤ ₱100,000",,,C,,,I,,,,,,A,I,,,,,,,,,,,,,,,,,
4,"4.4 Approve — G5 > ₱100,000",,C,A,,,I,,,,,,C,I,,,,,,,,,,,,,,,,,
4,4.5 Issue to supplier,,,,,,I,,,,,,A,R,I,,,,,,,,,,,,,,I,,
4,4.6 Supplier delivers,,,,,,,,,,,,I,I,I,,,,,,,,,,,,,,R,,
4,4.7 Record goods receipt,,,,,,I,C,,,,,I,C,R / A,,,,,,,,,,,,,,,,
4,4.8 Delivery status recomputed,,,,,,I,,,,,,I,I,I,,,,,,,,,,,,,,,,
4,4.9 Material readiness,,,,,,I,,,,,,C,I,I,,,,,,,,,,,,,,,,
4,4.10 Amend an issued order,,,C,,,C,,,,,,A,R,,,,,,,,,,,,,,,I,,
4,4.11 Add bank account,,,,,,,,,,,,A,R,,,,,,,,,,,,,,,,,
4,4.12 Confirm bank account,,,C,,,,,,,,,R / A,,,,,,,,,,,,,,,,,,
4,4.13 Locations and catalogue,,,,,,,,,,,,C,,R / A,,,,,,,,,,,,,,,,
4,4.14 Create stock transfer,,,,,,C,,,,,,,,R / A,,,,,,,,,,,,,,,,
4,4.15 Dispatch — G25a inter-island,,C,A,,,C,,,,,,,,R,,,,,,,,,,,,,,,,
4,4.15 Dispatch — G25b within-island,,,C,,,A,,,,,,,,R,,,,,,,,,,,,,,,,
4,4.16 Receive at destination,,,,,,A,R,,,,,,,I,,,,,,,,,,,,,,,,
4,4.17 Discrepancy flagged,,,,,,I,,,,,,I,,I,,,,,,,,,,,,,,,,
4,4.18 Raise stock adjustment,,,,,,I,,,,,,,,R,,,,,,,,,,,,,,,,
4,4.19 Approve adjustment — G26,,,,,,C,,,,,,,,A,,,,,,,,,,,,,,,,
4,4.20 Open physical count — G27,,,,,,I,,,,,,,,R / A,,,,,,,,,,,,,,,,
