Part 10 of 10 — Process steps and hand-offs · Magnus Workspace Platform · 8 September 2026
"The per-step note on what the live build does today is in the companion sheet, Part 10 — Deviations register, and in the Part 2 to 9 documents."

SECTION 1 — PROCESS STEPS
Part,Process,Step,Lane,Action,Record → state,Gate or block
2,Win the Work,2.1,Sales,"Create account, contact and site",parties · contacts · sites,
2,Win the Work,2.2,Sales,Create opportunity,opportunities → prospect,
2,Win the Work,2.3,Sales,Start assessment,opportunities → assessing,
2,Win the Work,2.4,Client,"Grants site access, shares load data",—,
2,Win the Work,2.5,Sales,Record site assessment,site_assessments → proceed · proceed_with_conditions · do_not_proceed,
2,Win the Work,2.6,Sales,Proceed?,decision,
2,Win the Work,2.7,Sales,Mark lost or on hold,opportunities → lost · on_hold,
2,Win the Work,2.8,Sales,"Create proposal — cost build-up, markups, contingency, yield",proposals → draft · opportunities → proposing,
2,Win the Work,2.9,Sales,Submit for internal review,proposals → submitted_for_review · approval_requests → pending,
2,Win the Work,2.10,Executive,Review proposal: approve or reject,proposals → approved_internal · rejected_internal,
2,Win the Work,2.11,Sales,Send to client,proposals → sent_to_client,
2,Win the Work,2.12,Client,"Reviews, negotiates, accepts or declines",proposals → under_negotiation → accepted · declined,
2,Win the Work,2.13,Sales,Submit for won decision,opportunities → negotiating · approval_requests → pending,
2,Win the Work,2.14,Executive,Decide won,opportunities → won · or back to proposing,
2,Win the Work,2.15,Platform,"Automatic: project created, proposal frozen, eight risk terms seeded",projects → setup · proposals → frozen · risk_terms × 8 → not_yet_read,
2,Win the Work,2.16,Projects,"Create contract — type, value, retention, warranty",contracts → draft,
2,Win the Work,2.17,Client,Signs the agreement,—,
2,Win the Work,2.18,Projects,Attach signed contract document and date,projects.contractSignedAt set,
2,Win the Work,2.19,Projects,Acknowledge the eight risk terms; contract risk review,risk_terms → acknowledged · accepted · rejected,
2,Win the Work,2.20,Projects,Assign project parties — ten seat roles from Project Manager to Client Representative,project_parties,
2,Win the Work,2.21,Platform,Automatic: advance from setup,projects → design,
3,Design and Permit,3.1,Engineering,Create design package — one of ten disciplines,design_packages → draft,—
3,Design and Permit,3.2,Engineering,Work the package,→ in_progress,—
3,Design and Permit,3.3,Engineering,"Add deliverables — nine types, from layout plan to commissioning checklist",design_deliverables → draft,—
3,Design and Permit,3.4,Engineering,"Record professional seal — engineer, licence, expiry, discipline",professional_seals,—
3,Design and Permit,3.5,Engineering,Issue for review,→ issued_for_review,—
3,Design and Permit,3.6,Engineering,Deliverable review,design_deliverables → in_review → approved,—
3,Design and Permit,3.7,Engineering,Issue for approval,→ issued_for_approval,—
3,Design and Permit,3.8,Engineering,Submit design freeze,approval_requests → pending,G18 raised
3,Design and Permit,3.9,Executive,Approve the design freeze,approval_requests → approved,G18 · Design Engineer · — · —
3,Design and Permit,3.10,Platform,Automatic: package released,→ issued_for_construction,—
3,Design and Permit,3.11,Engineering,Bill of materials — seven categories,bill_of_materials_lines,—
3,Design and Permit,3.12,Administration,Maintain the permit type library,permit_types,—
3,Design and Permit,3.13,Administration,Raise a project permit,project_permits → draft,—
3,Design and Permit,3.14,Administration,Set requirements from the library,project_permit_requirements → open,—
3,Design and Permit,3.15,Platform,Automatic: requirement observed — the library accumulates,permit_requirements.timesObserved,—
3,Design and Permit,3.16,Administration,Requirements ready,→ requirements_set,—
3,Design and Permit,3.17,Executive,Engage a permit consultant,—,G20 · COO · Director · —
3,Design and Permit,3.18,Administration,Submit to the authority,→ submitted,—
3,Design and Permit,3.19,External,The authority decides,→ approved · rejected,—
3,Design and Permit,3.20,Administration,Record the decision,→ approved · rejected,—
3,Design and Permit,3.21,Administration,Close the permit,→ closed,—
3,Design and Permit,3.22,Projects,The approved permit is what mobilisation checks for,project_permits at approved,—
4,Buy and Store,4.1,Procurement,Create the purchase order against a project and a supplier,purchase_orders → draft,—
4,Buy and Store,4.2,Procurement,"Add order lines, each optionally linked to a bill of materials line",purchase_order_lines → open,—
4,Buy and Store,4.3,Procurement,Submit for approval,→ pending_approval,G4 or G5 raised
4,Buy and Store,4.4,Executive,Approve the order,→ approved,"G4 ≤ ₱100,000 · Procurement Head · Director · 2 days — G5 > ₱100,000 · Director · Chief Operating Officer · 2 days"
4,Buy and Store,4.5,Procurement,Issue the order to the supplier — committed cost begins,→ issued,—
4,Buy and Store,4.6,External,The supplier delivers,—,—
4,Buy and Store,4.7,Warehouse,Record the goods receipt,goods_receipts → pending,—
4,Buy and Store,4.8,Platform,Automatic: delivery status recomputed,→ partially_delivered · fully_delivered,—
4,Buy and Store,4.9,Platform,"Automatic: material readiness — computed on read, never stored",—,—
4,Buy and Store,4.10,Procurement,Amend an issued order,—,—
4,Buy and Store,4.11,Procurement,Add the supplier's bank account,supplier_bank_accounts → confirmed = false,—
4,Buy and Store,4.12,Procurement,A second person confirms the account,→ confirmed = true,—
4,Buy and Store,4.13,Warehouse,Maintain locations and the item catalogue — seven categories,locations · items,—
4,Buy and Store,4.14,Warehouse,Create a stock transfer — four directions,stock_transfers → draft,—
4,Buy and Store,4.15,Warehouse,Dispatch,→ dispatched,"G25a inter-island · G25b within-island > ₱100,000"
4,Buy and Store,4.16,Projects and Site,Receive at destination,→ received · discrepancy,—
4,Buy and Store,4.17,Platform,Automatic: discrepancy flagged,stock_positions updated,—
4,Buy and Store,4.18,Warehouse,Raise a stock adjustment — write up or write off,stock_adjustments → pending_approval,—
4,Buy and Store,4.19,Executive,Approve the adjustment,"→ approved, stock moves",G26 · Warehouse Custodian · Project Manager
4,Buy and Store,4.20,Warehouse,Open a physical count — stock is snapshotted into count lines,physical_counts → open,G27 opening stock lock
