Part 10 of 10 — Hand-offs between lanes · Magnus Workspace Platform · 8 September 2026

SECTION 3 — HAND-OFFS BETWEEN LANES
Part,Process,From → To,At step,What crosses,What stalls it
2,Win the Work,Client → Sales,2.4 → 2.5,Site access and load data,The client. The assessment cannot be recorded without a visit
2,Win the Work,Sales → Executive,2.9 → 2.10,A proposal awaiting review,Nobody is told the request exists (RC-H). The approver finds it only by opening the record
2,Win the Work,Executive → Sales,2.10 → 2.11,An approved proposal,Same
2,Win the Work,Sales → Client,2.11 → 2.12,The proposal,The client's own timeline. under_negotiation is the holding state
2,Win the Work,Sales → Executive,2.13 → 2.14,A won decision,Same as 2.9
2,Win the Work,Platform → Projects,2.15 → 2.16,A new project in setup,The Project Manager is not told a project exists (RC-H)
2,Win the Work,Projects → Client,2.16 → 2.17,The contract,The client's signature
2,Win the Work,Client → Projects,2.17 → 2.18,The signed agreement,The physical document reaching whoever attaches it
3,Design and Permit,Engineering → Executive,3.8 → 3.9,A design freeze awaiting approval,Nobody is told (RC-H)
3,Design and Permit,Platform → Procurement,3.11 → Part 4,The bill of materials,Nothing. Part 4's purchase order links to a bill of materials line and auto-fills from it — one of the better joins in the product
3,Design and Permit,Administration → Executive,3.16 → 3.17,A consultant engagement decision,"The gate does not exist, so in practice this step is skipped entirely"
3,Design and Permit,Administration → Authority,3.18 → 3.19,The permit application,The authority's own timeline. There is no expected-decision date on the record
3,Design and Permit,Authority → Administration,3.19 → 3.20,The decision,Someone remembering to check
3,Design and Permit,Both chains → Projects,"3.10, 3.22 → Part 5",An issued-for-construction package and an approved permit,Either one being late. Mobilisation needs both
4,Buy and Store,Engineering → Procurement,Part 3 → 4.2,The bill of materials line,"Nothing. The link auto-fills description, quantity and unit — one of the better joins in the product"
4,Buy and Store,Procurement → Executive,4.3 → 4.4,An order awaiting approval,Nobody is told (RC-H)
4,Buy and Store,Procurement → Supplier,4.5 → 4.6,The issued order,"There is no way to send it. No print, no export, no email — the order exists only on screen"
4,Buy and Store,Supplier → Warehouse,4.6 → 4.7,The delivery,
4,Buy and Store,Warehouse → Warehouse,4.7 → 4.13,Nothing — this is the break,Received material never becomes stock. Somebody has to notice the delivery and type it in as an adjustment or a count
4,Buy and Store,Warehouse → Site,4.15 → 4.16,Material in transit,The receiver has to be on the platform to close it. Sorsogon and Dumaguete work from phones
4,Buy and Store,Procurement → Finance,4.5 → Part 6,Committed cost,"Committed cost is computed from issued orders only, and never compared against the contract value"
5,Build Safely,Part 3 → Site,→ 5.3,The approved permit and the issued-for-construction package,Nothing checks either. HB4 has no code
5,Build Safely,Manpower → Site,5.3 → 5.4,Crews on site,
5,Build Safely,Site → Projects,5.9 → 5.10,The day's report,Nobody is told (RC-H). A report can sit submitted indefinitely
5,Build Safely,Site → Payroll,5.7 → 5.12,The attendance list,Nothing. This join works — and it is the reason the toolbox meeting matters
5,Build Safely,Site → Safety,5.16 → 5.17,An active safety stop,"Nobody is told, and work does not actually stop — nothing in the platform blocks on an active stop"
5,Build Safely,Safety → Executive,5.23 → 5.24,A report awaiting closure,Nobody is told
5,Build Safely,Site → Part 8,5.11 → handover,Block completion,"The stage cannot advance, so handover is unreachable"
6,Get Paid,Site → Billing,Part 5 → 6.2,Block percent complete,Nothing. This join works — the claim reads the latest cumulative percent per block and stores a weighted average. It is the strongest link in the product
6,Get Paid,Billing → Client,6.3 → 6.4,The submitted claim,"There is no way to send it. No invoice document, no export, no attachment"
6,Get Paid,Client → Billing,6.4 → 6.5,Certification,"Someone remembering to check. No expected date, no notification"
6,Get Paid,Billing → Treasury,6.5 → 6.8,A certified claim to draw against,The link is optional — progressClaimId on a fund request is not required
6,Get Paid,Procurement → Treasury,Part 4 → 6.18,The supplier's bill,There is nowhere for it to land. Committed cost is computed from issued orders; nothing records what is actually owed
6,Get Paid,Projects → Executive,6.14 → 6.15,A variation order,No screen raises it and no mutation approves it
6,Get Paid,Treasury → Executive,6.16 → 6.17,The forecast,Nothing. The gap detection works
7,People and Pay,Site → Payroll,Part 5 → 7.19,Toolbox attendance becomes days worked,Nothing. This is the join that makes L4 work — presence is never tracked and people are still paid correctly
7,People and Pay,Candidate → Human Resource,7.6 → 7.7,An accepted offer,Nothing carries across. The employee record is typed again by hand
7,People and Pay,Human Resource → Payroll,7.15 → 7.16,Draft rate tables,Nobody is told (RC-H)
7,People and Pay,Payroll → Executive,7.19 → 7.20,A period ready to approve,Nobody is told
7,People and Pay,Payroll → Staff,7.20 → 7.21,The payslip,"There is no payslip document — the worker acknowledges a row on a screen. No print, no export, no file"
7,People and Pay,Payroll → Finance,7.22 → Part 6,The disbursement,Payroll is the only outbound payment the platform has. It does not appear in the cash forecast
7,People and Pay,Human Resource → Part 9,7.16,Approved rate tables,The tables are configuration and are not in the configuration register
8,Operate and Maintain,Site → Projects,Part 5 → 8.1,Block completion,Nothing — it is computed
8,Operate and Maintain,Projects → Executive,8.2 → 8.3,A handed-over system,No acceptance record to carry
8,Operate and Maintain,Platform → Finance,8.4 → 8.5,The retention release date,Nothing reads it. The date is derived correctly and no record can bill against it
8,Operate and Maintain,Projects → Operations,8.3 → 8.6,A site to maintain,The warranty expiry now gates every visit
